player_id,player_name,franchise_id,franchise_name,franchise_id_2025,franchise_name_2025,status_2025,franchise_id_2026,franchise_name_2026,status_2026,salary_2025,salary_2026,aav_2025,aav_2026,tcv_2025,tcv_2026,contract_year_2025,contract_year_2026,contract_status_2025,contract_status_2026,changed_salary,changed_aav,changed_tcv,bucket,likely_reason,status,notes,contract_info_2025,contract_info_2026
16167,"Achane, De'Von",0007,Sex Manther,0007,Sex Manther,ROSTER,0007,,ROSTER,5000,25000,5000,25000,55000,55000,3,2,Veteran,Veteran,1,1,0,Extension-related year advancement,Extension progression: staged AAV/salary moved from year 1 to later extension year.,expected,Salary and AAV stepped from the first extension year to the later-year value shown in contract info.,"CL 3| TCV 55K| AAV 5K, 25K| Ext: Gride",CL 3| TCV 55K| AAV 25K| Ext: Gride
16186,"Addison, Jordan",0005,HammerTime 🔨 ⏰,0005,HammerTime 🔨 ⏰,ROSTER,0005,,ROSTER,7000,17000,7000,17000,24000,24000,2,1,Veteran,Veteran,1,1,0,Extension-related year advancement,Extension progression on a 2-year veteran extension.,expected,2026 contract info resolves to the second-year extension amount.,"CL 2| TCV 24K| AAV 7K, 17K| Ext: LH",CL 2| TCV 24K| AAV 17K| Ext: LH
14104,"Brown, A.J.",0006,The Long Haulers,0006,The Long Haulers,ROSTER,0006,,ROSTER,73000,56000,46000,56000,129000,129000,2,1,BL,BL,1,1,0,Normal rollover / expected year advancement,Backloaded contract advanced from year 1 to year 2 values.,expected,Salary dropped from 73K-era front load to the final-year 56K amount; AAV also advanced to the later staged value.,"CL 2| TCV 129K| AAV 46K, 56K|Y1-73 Y2-56 | Ext: Sex, Creel, LH","CL 2| TCV 129K| AAV 56K|Y1-73 Y2-56 | Ext: Sex, Creel, LH"
15281,"Chase, Ja'Marr",0005,HammerTime 🔨 ⏰,0005,HammerTime 🔨 ⏰,ROSTER,0005,,ROSTER,33000,64000,34000,54000,162000,162000,3,2,BL,BL,1,1,0,Normal rollover / expected year advancement,Backloaded contract advanced to later-year salary and staged AAV.,expected,Y2/Y3 amounts explain the jump to 64K salary and 54K AAV.,"CL 3| TCV 162K| AAV 34K, AAV 54K| Y1-33K, Y2-64K, Y3-65K| Ext: Creel, Hammer","CL 3| TCV 162K| AAV 54K| Y1-33K, Y2-64K, Y3-65K| Ext: Creel, Hammer"
15290,"Collins, Nico",0002,CBP,0002,CBP,ROSTER,0002,,ROSTER,16000,47000,22000,42000,110000,110000,3,2,BL,BL,1,1,0,Normal rollover / expected year advancement,Backloaded contract advanced to later-year salary and staged AAV.,expected,Y2/Y3 amounts in contract info support the 47K salary and 42K AAV.,"CL 3| TCV 110K| AAV 22K, 42K |Y1-16K, Y2-47K, Y3-47K|  Ext: C-Town, CBP","CL 3| TCV 110K| AAV 42K|Y1-16K, Y2-47K, Y3-47K|  Ext: C-Town, CBP"
14823,"Dowdle, Rico",0010,Blake Bombers,0010,Blake Bombers,ROSTER,0010,,ROSTER,1000,11000,1000,11000,12000,12000,2,1,Veteran,Veteran,1,1,0,Extension-related year advancement,2-year veteran extension advanced from 1K opening year to 11K final year.,expected,No TCV change; salary/AAV movement matches extension staging.,"CL 2| TCV 12K| AAV 1K, 11K| Ext: Blake",CL 2| TCV 12K| AAV 11K| Ext: Blake
16187,"Downs, Josh",0006,The Long Haulers,0006,The Long Haulers,ROSTER,0006,,ROSTER,2000,12000,2000,14000,14000,14000,2,1,Veteran,Veteran,1,1,0,AAV change without expected workflow support,"Salary advanced to the second-year amount, but AAV resolves to 14K against a 14K TCV / 12K final-year salary structure.",requires manual review,Contract info shows Y1-2 and Y2-12 with TCV 14K; 2026 AAV=14K does not reconcile cleanly to remaining-value math.,"CL 2| TCV 14K| AAV 2K, 14K| Y1-2 Y2-12| Ext: GRide",CL 2| TCV 14K| AAV 14K| Y1-2 Y2-12| Ext: GRide
15799,"Ferguson, Jake",0001,L.A. Looks,0001,L.A. Looks,ROSTER,0001,,ROSTER,11000,21000,11000,21000,32000,32000,2,1,Veteran,Veteran,1,1,0,Extension-related year advancement,2-year veteran extension advanced from 11K to 21K.,expected,2026 values match the later extension year.,"CL 2| TCV 32K| AAV 11K, 21K| Y1-11, Y2-21| Ext: Blake, UW","CL 2| TCV 32K| AAV 21K| Y1-11, Y2-21| Ext: Blake, UW"
16190,"Flowers, Zay",0004,Pure Greatness,0004,Pure Greatness,ROSTER,0004,,ROSTER,5000,25000,5000,25000,55000,55000,3,2,Veteran,Veteran,1,1,0,Extension-related year advancement,3-year veteran extension advanced from the low first-year salary to 25K.,expected,Salary/AAV step matches the staged extension terms.,"CL 3| TCV 55K| AAV 5K, 25K| Y1-5, Y2-25, Y3-25| Ext: GRide","CL 3| TCV 55K| AAV 25K| Y1-5, Y2-25, Y3-25| Ext: GRide"
16162,"Gibbs, Jahmyr",0004,Pure Greatness,0004,Pure Greatness,ROSTER,0004,,ROSTER,11000,31000,11000,31000,73000,73000,3,2,Veteran,Veteran,1,1,0,Extension-related year advancement,3-year veteran extension advanced from 11K to 31K.,expected,Salary/AAV step matches the staged extension terms.,"CL 3| TCV 73K| AAV 11K, 31K| Y1-11K, Y2-31K, Y3-31K| Ext: Sex ","CL 3| TCV 73K| AAV 31K| Y1-11K, Y2-31K, Y3-31K| Ext: Sex"
12626,"Henry, Derrick",0006,The Long Haulers,0006,The Long Haulers,ROSTER,0006,,ROSTER,50000,44000,34000,44000,94000,94000,2,1,BL,BL,1,1,0,Normal rollover / expected year advancement,Backloaded contract moved from 50K to 44K final year with AAV stepping to 44K.,expected,Visible Y1/Y2 structure explains the change.,"CL 2| TCV 94K| AAV 34K, 44K |Y1-50 Y2-44| Ext: LH",CL 2| TCV 94K| AAV 44K|Y1-50 Y2-44| Ext: LH
14779,"Herbert, Justin",0011,Cleon Ca$h,0011,Cleon Ca$h,ROSTER,0011,,ROSTER,61000,51000,51000,51000,153000,153000,3,2,FL,FL,1,0,0,Normal rollover / expected year advancement,Frontloaded contract advanced from 61K opening year to 51K second year.,expected,TCV and AAV stay stable; salary movement matches the FL schedule.,"CL 3| TCV 153K| AAV 51K| Y1-61, Y2-51, Y3-41","CL 3| TCV 153K| AAV 51K| Y1-61, Y2-51, Y3-41"
14835,"Higgins, Tee",0009,C-Town Chivalry,0009,C-Town Chivalry,ROSTER,0009,,ROSTER,24000,24000,37000,47000,48000,48000,2,1,Veteran,Veteran,0,1,0,AAV change without expected workflow support,Salary stayed flat at 24K while AAV jumped from 37K to 47K on a 48K TCV / 2-year structure.,suspicious,Visible Y1/Y2 salaries do not justify an AAV jump to 47K.,"CL 2| TCV 48K| AAV 37K, 47K| Y1-24, Y2-24| Ext: Mafia, LH, C-Town","CL 2| TCV 48K| AAV 47K| Y1-24, Y2-24| Ext: Mafia, LH, C-Town"
12801,"Hill, Tyreek",0007,Sex Manther,0007,Sex Manther,INJURED_RESERVE,0007,,ROSTER,80000,62000,61000,62000,142000,142000,2,1,FL,FL,1,1,0,Normal rollover / expected year advancement,Frontloaded contract advanced from 80K IR season value to 62K active-roster year 2 value.,expected,"IR-to-roster status changed, but the contract still follows the FL schedule.","CL 2| TCV 142K| AAV 61Kl Y1- 80K, Y2- 62K",CL 2| TCV 142K| AAV 62K
14783,"Hurts, Jalen",0005,HammerTime 🔨 ⏰,0005,HammerTime 🔨 ⏰,ROSTER,0005,,ROSTER,17000,67000,42000,42000,84000,84000,2,1,BL,BL,1,0,0,Normal rollover / expected year advancement,Backloaded contract advanced from 17K to 67K final year.,expected,Salary shift is exactly the second-year BL amount.,"CL 2| TCV 84K| AAV 42K| Y1-17K, Y2-67K| Ext: Gride, Hammer","CL 2| TCV 84K| AAV 42K| Y1-17K, Y2-67K| Ext: Gride, Hammer"
14836,"Jefferson, Justin",0004,Pure Greatness,0004,Pure Greatness,ROSTER,0004,,ROSTER,25000,71000,48000,48000,96000,96000,2,1,BL,BL,1,0,0,Normal rollover / expected year advancement,Backloaded contract advanced from 25K to 71K final year.,expected,Salary shift matches the Y2 amount on the 2-year BL structure.,"CL 2| TCV 96K| AAV 48K| Y1-25K, Y2-71K| Ext:  Sex, Hammer ","CL 2| TCV 96K| AAV 48K| Y1-25K, Y2-71K| Ext:  Sex, Hammer"
14860,"Jennings, Jauan",0001,L.A. Looks,0001,L.A. Looks,ROSTER,0001,,ROSTER,11000,21000,11000,21000,32000,32000,2,1,Veteran,Veteran,1,1,0,Extension-related year advancement,2-year veteran extension advanced from 11K to 21K.,expected,Salary/AAV step aligns with extension staging.,"CL 2| TCV 32K| AAV 11K, 21K| Y1-11K, Y2-21K| Ext: Creel, L.A.| GTD: 24K","CL 2| TCV 32K| AAV 21K| Y1-11K, Y2-21K| Ext: Creel, L.A.| GTD: 24K"
16213,"Kincaid, Dalton",0012,Hawks,0012,Hawks,ROSTER,0012,,ROSTER,9000,29000,9000,29000,67000,67000,3,2,Veteran,Veteran,1,1,0,Extension-related year advancement,3-year veteran extension advanced from 9K to 29K.,expected,Salary/AAV step aligns with extension staging.,"CL 3| TCV 67K| AAV 9K, 29K| Ext: PG",CL 3| TCV 67K| AAV 29K| Ext: PG
14867,"Kmet, Cole",0002,CBP,0002,CBP,ROSTER,0002,,ROSTER,1000,6000,9000,9000,27000,27000,2,1,FL,FL,1,0,0,Normal rollover / expected year advancement,Frontloaded contract advanced from 1K bridge year to 6K final year.,expected,AAV stays constant while salary follows the FL schedule.,"CL 3| TCV 27K| AAV 9K| Y1-20, Y2-1, Y3-6","CL 3| TCV 27K| AAV 9K| Y1-20, Y2-1, Y3-6"
15751,"London, Drake",0009,C-Town Chivalry,0009,C-Town Chivalry,ROSTER,0009,,ROSTER,14000,52000,33000,33000,66000,66000,2,1,BL,BL,1,0,0,Normal rollover / expected year advancement,Backloaded contract advanced from 14K to 52K final year.,expected,BL schedule fully explains the salary increase.,"CL 2| TCV 66K| AAV 33K| Y1-14, Y2-52| Ext: PG","CL 2| TCV 66K| AAV 33K| Y1-14, Y2-52| Ext: PG"
15972,"Mason, Jordan",0006,The Long Haulers,0006,The Long Haulers,ROSTER,0006,,ROSTER,14000,14000,4000,24000,52000,52000,3,2,FL,FL,0,1,0,Extension-related year advancement,Staged FL/AAV contract moved from 4K opening AAV tier to 24K later tier.,expected,Salary remains 14K while AAV metadata advances to the later staged figure carried in contract info.,"CL 3| TCV 52K| AAV 4K, 24K| Y1-14, Y2-14, Y3-24| Ext: LH","CL 3| TCV 52K| AAV 24K| Y1-14, Y2-14, Y3-24| Ext: LH"
13590,"Mayfield, Baker",0004,Pure Greatness,0004,Pure Greatness,ROSTER,0004,,ROSTER,36000,26000,31000,31000,62000,62000,2,1,FL,FL,1,0,0,Normal rollover / expected year advancement,Frontloaded contract advanced from 36K to 26K final year.,expected,FL schedule explains the salary change; TCV/AAV are stable.,"CL 2| TCV 62K| AAV 31K| Y1-36, Y2-26,","CL 2| TCV 62K| AAV 31K| Y1-36, Y2-26,"
15794,"McBride, Trey",0005,HammerTime 🔨 ⏰,0005,HammerTime 🔨 ⏰,ROSTER,0005,,ROSTER,9000,35000,22000,22000,44000,44000,2,1,BL,BL,1,0,0,Normal rollover / expected year advancement,Backloaded contract advanced from 9K to 35K final year.,expected,Visible Y1/Y2 BL structure explains the jump.,"CL 2| TCV 44K| AAV 22K, 22K| Y1-9K, Y2-35K| Ext: Hammer","CL 2| TCV 44K| AAV 22K| Y1-9K, Y2-35K| Ext: Hammer"
14071,"Montgomery, David",0001,L.A. Looks,0001,L.A. Looks,ROSTER,0001,,ROSTER,28000,12000,20000,20000,40000,40000,2,1,FL,FL,1,0,0,Normal rollover / expected year advancement,Frontloaded contract advanced from 28K to 12K final year.,expected,FL schedule explains the salary reduction.,"CL 2| TCV 40K| AAV 20K| Y1-28K, Y2-12K","CL 2| TCV 40K| AAV 20K| Y1-28K, Y2-12K"
16615,"Nabers, Malik",0011,Cleon Ca$h,0011,Cleon Ca$h,INJURED_RESERVE,0011,,ROSTER,13000,13000,13000,13000,39000,36000,2,2,Rookie,EXT1,0,0,1,Extension-related changes,"Rookie contract converted to EXT1 between 2025 and 2026, reducing TCV from 39K to 36K.",expected,Only TCV change in the audit set; player page on 2026 real site confirms EXT1 with CL 2 / TCV 36K.,CL 3| TCV 39K| AAV 13K,"CL 2|TCV 36K|AAV 13K, 23K|Y1-13K, Y2-23K|Ext: Cash|GTD: 27K"
15754,"Olave, Chris",0004,Pure Greatness,0004,Pure Greatness,ROSTER,0004,,ROSTER,51000,11000,31000,31000,62000,62000,2,1,FL,FL,1,0,0,Normal rollover / expected year advancement,Frontloaded contract advanced from 51K to 11K final year.,expected,FL schedule explains the drop.,"CL 2| TCV 62K| AAV 31K| Y1-51, Y2-11| Ext: Blake","CL 2| TCV 62K| AAV 31K| Y1-51, Y2-11| Ext: Blake"
15698,"Purdy, Brock",0010,Blake Bombers,0010,Blake Bombers,ROSTER,0010,,ROSTER,40000,22000,28000,28000,84000,84000,3,2,FL,FL,1,0,0,Normal rollover / expected year advancement,Frontloaded contract advanced from 40K to 22K second year.,expected,Salary follows the 40/22/22 FL structure; AAV and TCV stay stable.,"CL 3| TCV 84K| AAV 28K| Y1-40K, Y2-22K, Y3-22K| ","CL 3| TCV 84K| AAV 28K| Y1-40K, Y2-22K, Y3-22K|"
16194,"Rice, Rashee",0007,Sex Manther,0007,Sex Manther,INJURED_RESERVE,0007,,ROSTER,5000,25000,5000,25000,55000,55000,3,2,Veteran,Veteran,1,1,0,Extension-related year advancement,3-year veteran extension advanced from 5K to 25K while moving off IR.,expected,"Status changed from IR to roster, but the contract movement matches the staged extension values.","CL 3| TCV 55K| AAV 5K, 25K| Y1-5 Y2-25, Y3-25| Ext: LH","CL 3| TCV 55K| AAV 25K| Y1-5 Y2-25, Y3-25| Ext: LH"
15757,"Robinson, Wan'Dale",0011,Cleon Ca$h,0011,Cleon Ca$h,ROSTER,0011,,ROSTER,12000,22000,12000,22000,34000,34000,2,1,Veteran,Veteran,1,1,0,Extension-related year advancement,2-year veteran extension advanced from 12K to 22K.,expected,Salary/AAV step aligns with extension staging.,"CL 2| TCV 34K| AAV 12K, 22K| Y1-12K, Y2-22K| Ext: Blake, LH","CL 2| TCV 34K| AAV 22K| Y1-12K, Y2-22K| Ext: Blake, LH"
15761,"Shakir, Khalil",0011,Cleon Ca$h,0011,Cleon Ca$h,ROSTER,0011,,ROSTER,14000,25000,19000,19000,57000,57000,3,2,BL,BL,1,0,0,Normal rollover / expected year advancement,Backloaded contract advanced from 14K to 25K second year.,expected,Salary follows the BL schedule; AAV/TCV stay stable.,"CL 3| TCV 57K| AAV 19K| Y1-14K, Y2-25K, Y3-18K","CL 3| TCV 57K| AAV 19K| Y1-14K, Y2-25K, Y3-18K"
11150,"Smith, Geno",0005,HammerTime 🔨 ⏰,0005,HammerTime 🔨 ⏰,ROSTER,0005,,ROSTER,9000,1000,15000,15000,45000,45000,3,2,BL,BL,1,0,0,Normal rollover / expected year advancement,Backloaded contract advanced into the 1K middle year before the final 35K season.,expected,Odd-looking drop is still consistent with the posted 9/1/35 schedule.,"CL 3| TCV 45K| AAV 15K| Y1-9K, Y2-1K, Y3-35K","CL 3| TCV 45K| AAV 15K| Y1-9K, Y2-1K, Y3-35K"
13696,"Smith, Roquan",0011,Cleon Ca$h,0011,Cleon Ca$h,ROSTER,0011,,ROSTER,3000,1000,4000,4000,12000,12000,2,1,FL,FL,1,0,0,Normal rollover / expected year advancement,Frontloaded contract advanced from 3K to 1K final year.,expected,FL schedule explains the change; AAV/TCV stay stable.,"CL 3| TCV 12K| AAV 4K| Y1-8, Y2-3, Y3-1","CL 3| TCV 12K| AAV 4K| Y1-8, Y2-3, Y3-1"
16708,"Smith, Tykee",0004,Pure Greatness,0004,Pure Greatness,ROSTER,0004,,ROSTER,1000,4000,1000,4000,5000,5000,2,1,Veteran,Veteran,1,1,0,Extension-related year advancement,2-year veteran extension advanced from 1K to 4K.,expected,Salary/AAV step aligns with extension staging.,"CL 2| TCV 5K| AAV 1K, 4K|Y1-1 Y2-4 | Ext: LH",CL 2| TCV 5K| AAV 4K|Y1-1 Y2-4 | Ext: LH
16185,"Smith-Njigba, Jaxon",0009,C-Town Chivalry,0009,C-Town Chivalry,ROSTER,0009,,ROSTER,14000,1000,10000,30000,70000,70000,3,2,FL,FL,1,1,0,Extension-related year advancement,Staged FL/AAV contract moved from the opening 10K AAV tier to the later 30K tier while salary moved to the 1K middle year.,requires manual review,"The visible contract info supports a staged AAV change, but the 30K AAV does not map neatly to remaining-year average value.","CL 3| TCV 70K| AAV 10K, 30K| Y1-14K, Y2-1K, Y3-55K| Ext: C-Town","CL 3| TCV 70K| AAV 30K| Y1-14K, Y2-1K, Y3-55K| Ext: C-Town"
13630,"Sutton, Courtland",0001,L.A. Looks,0001,L.A. Looks,ROSTER,0001,,ROSTER,15000,15000,10000,20000,30000,30000,2,1,Veteran,Veteran,0,1,0,AAV change without expected workflow support,Salary stayed flat at 15K while AAV doubled from 10K to 20K on a 30K TCV / 2-year structure.,suspicious,Visible Y1/Y2 salaries do not justify an AAV jump to 20K.,"CL 2| TCV 30K| AAV 10K, 20K| Y1-15K, Y2-15K| Ext: UW","CL 2| TCV 30K| AAV 20K| Y1-15K, Y2-15K| Ext: UW"
15753,"Wilson, Garrett",0002,CBP,0002,CBP,INJURED_RESERVE,0002,,ROSTER,24000,44000,34000,34000,68000,68000,2,1,BL,BL,1,0,0,Normal rollover / expected year advancement,Backloaded contract advanced from 24K IR-season value to 44K active-roster final year.,expected,"Status changed from IR to roster, but contract movement matches the BL schedule.","CL 2| TCV 68K| AAV 34K| Y1-24, Y2-44| Ext: CBP","CL 2| TCV 68K| AAV 34K| Y1-24, Y2-44| Ext: CBP"
