job_id,current_status,current_trigger,current_environment,current_side_effects,idempotency_risk,v2_disposition,v2_job_name,migration_priority,blocking_dependency,review_notes,approved_by,approved_at
rosters_current_daily,live,daily_scheduler,prod_read_only,refreshes current roster mirror artifacts,low,keep_refactor,prod_mirror_refresh,high,none,Refactor to UPS_V2 paths and explicit env wiring,user_directive_2026-03-17,2026-03-17T00:00:00Z
rosters_weekly_inseason_tuesday,live,weekly_scheduler_tuesday,prod_read_only,refreshes in-season history snapshots,low,keep_refactor,prod_weekly_history_refresh,medium,season_window_logic,Retain weekly history job with governed season window logic,user_directive_2026-03-17,2026-03-17T00:00:00Z
acquisition_hub_refresh_local,live,local_manual_or_scripted,mixed_env_local,builds acquisition artifacts from mixed local assumptions,medium,replace,artifact_build_acquisition_env_scoped,high,environment_split,Split local mixed behavior into environment-scoped build jobs,user_directive_2026-03-17,2026-03-17T00:00:00Z
acquisition_rookie_reconcile,partial,privileged_manual,prod_write_privileged,can mutate privileged reconciliation state,high,defer,privileged_reconcile_job,high,publish_controls,Do not carry into active UPS_V2 runtime until publish controls are implemented,user_directive_2026-03-17,2026-03-17T00:00:00Z
full_pipeline_live_manual,live,manual_operator_command,mixed_env_local,rebuilds multiple artifacts with mixed prod test assumptions,high,split,manual_rebuild_prod_and_test,high,environment_split,Replace mixed env rebuild with explicit per-environment rebuild commands,user_directive_2026-03-17,2026-03-17T00:00:00Z
refresh_mym_dashboard,live,scheduled_refresh,prod_read_only,refreshes MYM-facing artifacts,low,keep_refactor,mym_dashboard_refresh,medium,none,Retain as read-only artifact refresh job,user_directive_2026-03-17,2026-03-17T00:00:00Z
refresh_acquisition_hub_remote,live,remote_refresh,prod_read_only,refreshes remote acquisition artifacts,medium,keep_refactor,acquisition_hub_refresh_remote,medium,secrets_rewire,Retain with explicit DB and secret wiring only,user_directive_2026-03-17,2026-03-17T00:00:00Z
log_contract_activity,live,append_on_action,github_ops,appends action lineage records,low,keep_refactor,contract_activity_append_log,medium,none,Retain allowlisted append-only pattern,user_directive_2026-03-17,2026-03-17T00:00:00Z
log_extension_submission,live,append_on_action,github_ops,appends extension submissions,low,keep_refactor,extension_submission_append_log,medium,none,Retain allowlisted append-only pattern,user_directive_2026-03-17,2026-03-17T00:00:00Z
log_mym_submission,live,append_on_action,github_ops,appends MYM submissions,low,keep_refactor,mym_submission_append_log,medium,none,Retain allowlisted append-only pattern,user_directive_2026-03-17,2026-03-17T00:00:00Z
log_restructure_submission,live,append_on_action,github_ops,appends restructure submissions,low,keep_refactor,restructure_submission_append_log,medium,none,Retain allowlisted append-only pattern,user_directive_2026-03-17,2026-03-17T00:00:00Z
post_deadline_reminders,live,scheduled_notification,prod_write_privileged,sends prod-only reminders or follow-ups,medium,keep_refactor,deadline_reminder_job,medium,notification_policy,Prod-only privileged notification job with explicit gating,user_directive_2026-03-17,2026-03-17T00:00:00Z
nightly_prod_to_test_mirror,planned,nightly_scheduler,prod_read_to_test_write,mirrors prod league state into test environment,medium,keep_new,nightly_prod_to_test_mirror,high,publish_and_env_boundaries,Formalize as governed one-way mirror job,user_directive_2026-03-17,2026-03-17T00:00:00Z
post_trade_refresh,live,post_action_trigger,mixed_worker_runtime,rebuilds dependent trade outputs after trade submission,medium,keep_refactor,post_trade_recalculation_job,high,publish_controls,Retain as explicit recalculation job after trade changes,user_directive_2026-03-17,2026-03-17T00:00:00Z
