directive_id,source_channel_or_thread,statement_summary,effective_date,affected_rule_or_workflow,temporary_or_permanent,follow_up_required
DIR-2026-03-18-001,codex_session_2026-03-18,Offensive first-round rookie option adds 5K to the contract salary band; defensive first-round cases should provisionally use half the cost of an extension until codified,2026-03-18,contract_actions_workspace.team_option_flow,mixed_permanent_plus_provisional,yes
DIR-2026-03-18-002,codex_session_2026-03-18,Add is one governed acquisition concept across BBID and FCFS; the add window starts on the first waiver run after free-agent auction completion and ends at the configured season end week from league metadata,2026-03-18,roster_operations_workspace.add_action_rule,permanent,yes
DIR-2026-03-18-003,codex_session_2026-03-18,"Drops are allowed from new league website start through league end date, except after the player game starts, during the short pre-auction roster-lock window, and during the free-agent auction",2026-03-18,roster_operations_workspace.drop_action_rule,permanent,yes
DIR-2026-03-18-004,codex_session_2026-03-18,"Free-agent auction normally targets the last weekend of July, but timing may remain operationally fluid when league availability requires adjustment; this is a normal target period, not an invariant start date",2026-03-18,add_action_rule.auction_timing,permanent,yes
DIR-2026-03-18-005,codex_session_2026-03-18,Final cut-down day should normally fall no more than 48 hours before the free-agent auction starts so cap hits and roster accounting can be finalized before bidding begins,2026-03-18,drop_action_rule.pre_auction_drop_lock,permanent,yes
DIR-2026-03-18-006,user_directive_2026-03-18,Rules_watch must continuously cross-check live MFL site settings and exports for every governed rule with a source-system equivalent; mismatches must be recorded in the site_settings_alignment_register and classified explicitly so rulebook drift and source-system drift are never silent,2026-03-18,rules_watch.site_settings_alignment,permanent,yes
DIR-2026-03-18-007,codex_session_2026-03-18,"Trade availability starts at the new league year, remains open during the offseason and auction, and closes at the kickoff of the Thanksgiving Day game for that season",2026-03-18,trade_offer_action_rule.trade_window,permanent,yes
DIR-2026-03-18-008,codex_session_2026-03-18,"Trade offers should be delivered by Discord DM to both recipient and sender; lightweight Discord responses are dismiss, not interested, will consider, and open communication, but final acceptance must happen on the website",2026-03-18,trade_negotiation_workspace.discord_dm_interaction_model,permanent,yes
DIR-2026-03-18-009,codex_session_2026-03-18,Pending trade offers should receive nudges every 5 days in the offseason and every 24 hours in-season while the trade window remains open,2026-03-18,trade_negotiation_workspace.reminder_and_nudge_policy,permanent,yes
DIR-2026-03-18-010,codex_session_2026-03-18,"If a traded player is on taxi when the trade is processed, that player should return to taxi on the acquiring franchise whenever taxi status remains valid",2026-03-18,trade_offer_action_rule.taxi_on_trade_handling,permanent,yes
DIR-2026-03-18-011,codex_session_2026-03-18,Trades involving players whose games have already started should not process for the current scoring week; UPS_V2 should prefer a deferred next-week processing model when source-system behavior allows it,2026-03-18,trade_offer_action_rule.player_kickoff_handling,provisional_pending_source_validation,yes
DIR-2026-03-18-012,codex_session_2026-03-18,"Discord trade DM behavior is test-only for now; in test it should route through the commissioner-controlled Discord identity stored in secrets, while broader owner-by-owner rollout remains disabled until mapping review and approval are complete",2026-03-18,trade_negotiation_workspace.discord_dm_interaction_model,temporary_until_rollout_approval,yes
DIR-2026-03-18-013,codex_session_2026-03-18,Franchise-to-Discord owner targeting should resolve from stored database mapping logic using discord account details rather than hardcoded usernames,2026-03-18,trade_offer_action_rule.delivery_mapping_rule,permanent,yes
DIR-2026-03-18-014,codex_session_2026-03-18,"Keith is franchise 0008; both commissioner Discord identities `upscommish` and `ups_commish` are valid test targets for franchise 0008, and the legacy 0010 co-commish mapping should not be treated as a separate owner target for trade DM rollout",2026-03-18,trade_offer_action_rule.delivery_mapping_rule,permanent_for_test_routing_pending_data_normalization,yes
DIR-2026-03-18-015,codex_session_2026-03-18,"Trade salary may be derived only from the current-season salary of selected outgoing active-roster or IR players; taxi players are excluded, and the maximum tradable salary is 50 percent of that outgoing eligible salary base with mirrored cap adjustments between the two sides",2026-03-18,trade_offer_action_rule.salary_in_trade_handling,permanent,yes
DIR-2026-03-18-016,codex_session_2026-03-18,"Offseason cap overage should not reverse a trade, and regular-season over-cap state should be enforced through lineup-submission restrictions rather than automatic trade reversal; penalty or auto-adjustment policy remains a separate owner-meeting decision",2026-03-18,trade_offer_action_rule.compliance_and_asset_rules,permanent_with_pending_penalty_policy,yes
DIR-2026-03-18-017,codex_session_2026-03-18,Release 1 trade execution is intentionally limited to self-serve two-team trades; three-way or larger trades remain commissioner-managed exceptions until a dedicated multi-party workflow is approved.,2026-03-18,trade_negotiation_workspace.multi_party_scope,permanent_until_future_multi_party_promotion,yes
DIR-2026-03-18-018,codex_session_2026-03-18,"Free agent auction nomination duty starts at 12 PM ET on auction open, requires two nominations before midnight on day one, then requires two nominations per midnight-reset day thereafter for every non-exempt franchise",2026-03-18,auction_nomination_rule.nomination_window,permanent,yes
DIR-2026-03-18-019,codex_session_2026-03-18,"A franchise may stop nominating only when it is nomination-complete, including when currently leading bids are sufficient to finish minimum roster and valid lineup requirements; if it later loses a required leading bid, UPS_V2 should allow a supplemental nomination, but otherwise a skipped day ends discretionary nominations for the rest of the auction",2026-03-18,auction_nomination_rule.stop_and_forfeit_logic,permanent,yes
