season,top5_count,top5_winning_bid_sum,top5_perceived_value_sum,top5_value_delta,top10_count,top10_winning_bid_sum,top10_perceived_value_sum,top10_value_delta,top25_count,top25_winning_bid_sum,top25_perceived_value_sum,top25_value_delta,top50_count,top50_winning_bid_sum,top50_perceived_value_sum,top50_value_delta,top100_count,top100_winning_bid_sum,top100_perceived_value_sum,top100_value_delta,all_count,all_winning_bid_sum,all_perceived_value_sum,all_value_delta,sf_count,sf_winning_bid_sum,sf_perceived_value_sum,sf_value_delta,idp_count,idp_winning_bid_sum,idp_perceived_value_sum,idp_value_delta,non_idp_count,non_idp_winning_bid_sum,non_idp_perceived_value_sum,non_idp_value_delta
2011,5,296009,935129.55,639120.55,10,565009,1271018.21,706009.21,25,1204009,1787964.79,583955.79,50,1975009,2196123.18,221114.18,100,2678009,2619830.35,-58178.65,269,3185009,3185009.03,0.03,0,0,0.0,0.0,73,228000,227999.88,-0.12,196,2957009,2957009.15,0.15
2012,5,293000,675434.93,382434.93,10,476000,779165.42,303165.42,25,814000,934324.82,120324.82,50,1096000,1102279.78,6279.78,100,1402000,1344767.03,-57232.97,224,1648000,1647999.88,-0.12,0,0,0.0,0.0,61,166000,165999.93,-0.07,163,1482000,1481999.95,-0.05
2013,5,200000,251658.37,51658.37,10,356000,342482.22,-13517.78,25,604000,486876.44,-117123.56,50,750000,638287.45,-111712.55,100,863000,851792.72,-11207.28,178,1034000,1033999.89,-0.11,0,0,0.0,0.0,57,140000,139999.98,-0.02,121,894000,893999.91,-0.09
2014,5,241000,250977.12,9977.12,10,421000,374910.85,-46089.15,25,797000,628750.63,-168249.37,50,1089996,875603.82,-214392.18,100,1294996,1184252.44,-110743.56,213,1545996,1538152.98,-7843.02,0,0,0.0,0.0,50,122000,122000.0,0.0,163,1423996,1416152.98,-7843.02
2015,5,239000,183303.54,-55696.46,10,365000,277514.43,-87485.57,25,632000,457723.64,-174276.36,50,825000,650759.29,-174240.71,100,964000,917203.98,-46796.02,183,1147000,1141586.71,-5413.29,0,0,0.0,0.0,55,151000,148303.65,-2696.35,128,996000,993283.06,-2716.94
2016,5,233000,160520.59,-72479.41,10,375000,248560.32,-126439.68,25,642000,424727.66,-217272.34,50,803000,623567.42,-179432.58,100,971000,917588.96,-53411.04,183,1156000,1152933.07,-3066.93,0,0,0.0,0.0,51,136000,136000.17,0.17,132,1020000,1016932.9,-3067.1
2017,5,286000,264765.42,-21234.58,10,453000,353617.56,-99382.44,25,761000,552564.38,-208435.62,50,1018000,782519.91,-235480.09,100,1157000,1100592.44,-56407.56,193,1387000,1386999.79,-0.21,0,0,0.0,0.0,56,160000,159999.84,-0.16,137,1227000,1226999.95,-0.05
2018,5,218000,149609.9,-68390.1,10,336000,228934.61,-107065.39,25,554000,406519.97,-147480.03,50,779000,617681.76,-161318.24,100,947000,917545.52,-29454.48,233,1314000,1314000.19,0.19,0,0,0.0,0.0,96,317000,317000.18,0.18,137,997000,997000.01,0.01
2019,5,174000,126414.74,-47585.26,10,309000,201764.14,-107235.86,25,521000,368838.99,-152161.01,50,631000,554235.55,-76764.45,100,775000,821561.11,46561.11,207,1141000,1140999.79,-0.21,0,0,0.0,0.0,84,270000,269999.71,-0.29,123,871000,871000.08,0.08
2020,5,169000,119595.9,-49404.1,10,238000,159572.4,-78427.6,25,312000,240988.9,-71011.1,50,407000,349522.8,-57477.2,100,502000,501322.79,-677.21,167,604000,604000.02,0.02,0,0,0.0,0.0,70,148000,148000.12,0.12,97,456000,455999.9,-0.1
2021,5,213000,104719.48,-108280.52,10,293000,166883.64,-126116.36,25,425000,271914.63,-153085.37,50,521000,412963.41,-108036.59,100,630000,598169.99,-31830.01,179,758000,755834.63,-2165.37,0,0,0.0,0.0,71,169000,168999.89,-0.11,108,589000,586834.74,-2165.26
2022,5,193000,322148.78,129148.78,10,340000,383490.5,43490.5,25,529000,486887.18,-42112.82,50,699000,637530.87,-61469.13,100,902000,891546.2,-10453.8,187,1048000,1048000.18,0.18,0,0,0.0,0.0,69,143000,143000.23,0.23,118,905000,904999.95,-0.05
2023,5,240000,134057.09,-105942.91,10,313000,181092.18,-131907.82,25,391000,262341.4,-128658.6,50,481000,370451.34,-110548.66,100,582000,570803.19,-11196.81,163,670000,664306.7,-5693.3,12,76000,76486.19,486.19,68,136000,135999.85,-0.15,95,534000,528306.85,-5693.15
2024,5,194000,236925.15,42925.15,10,286000,300278.77,14278.77,25,426000,386077.21,-39922.79,50,536000,488805.89,-47194.11,100,663000,659564.23,-3435.77,185,776000,775999.72,-0.28,14,81000,74149.85,-6850.15,69,143000,142999.78,-0.22,116,633000,632999.94,-0.06
2025,5,195000,204043.16,9043.16,10,315000,268759.36,-46240.64,25,501000,376605.25,-124394.75,50,595000,493184.14,-101815.86,100,705000,678510.58,-26489.42,171,798000,798000.01,0.01,18,185000,198542.9,13542.9,62,125000,125000.1,0.1,109,673000,672999.91,-0.09
