season,position_name,limit_range
2010,QB,1
2010,RB,2-3
2010,WR,2-3
2010,TE,1-2
2010,PK,1
2010,Def,1
2011,QB,1
2011,RB,1-3
2011,WR,2-4
2011,TE,1-3
2011,PK,1
2011,PN,1
2011,DT+DE,1-3
2011,LB,1-3
2011,CB+S,1-3
2012,QB,1
2012,RB,1-3
2012,WR,2-4
2012,TE,1-3
2012,PK,1
2012,PN,1
2012,DT+DE,1-3
2012,LB,1-3
2012,CB+S,1-3
2013,QB,1
2013,RB,1-3
2013,WR,2-4
2013,TE,1-3
2013,PK,1
2013,PN,1
2013,DT+DE,1-3
2013,LB,1-3
2013,CB+S,1-3
2014,QB,1
2014,RB,1-3
2014,WR,2-4
2014,TE,1-3
2014,PK,1
2014,PN,1
2014,DT+DE,1-3
2014,LB,1-3
2014,CB+S,1-3
2015,QB,1
2015,RB,2-4
2015,WR,2-4
2015,TE,1-3
2015,PK,1
2015,PN,1
2015,DT+DE,1-3
2015,LB,1-3
2015,CB+S,1-3
2016,QB,1
2016,RB,2-4
2016,WR,2-4
2016,TE,1-3
2016,PK,1
2016,PN,1
2016,DT+DE,1-3
2016,LB,1-3
2016,CB+S,1-3
2017,QB,1
2017,RB,2-4
2017,WR,2-4
2017,TE,1-3
2017,PK,1
2017,PN,1
2017,DT+DE,1-3
2017,LB,1-3
2017,CB+S,1-3
2018,QB,1
2018,RB,2-4
2018,WR,2-4
2018,TE,1-3
2018,PK,1
2018,PN,1
2018,DT+DE,2-3
2018,LB,2-3
2018,CB+S,2-3
2019,QB,1
2019,RB,2-4
2019,WR,2-4
2019,TE,1-3
2019,PK,1
2019,PN,1
2019,DT+DE,2-3
2019,LB,2-3
2019,CB+S,2-3
2020,QB,1
2020,RB,2-4
2020,WR,2-4
2020,TE,1-3
2020,PK,1
2020,PN,1
2020,DT+DE,2-3
2020,LB,2-3
2020,CB+S,2-3
2021,QB,1
2021,RB,2-4
2021,WR,2-4
2021,TE,1-3
2021,PK,1
2021,PN,1
2021,DT+DE,2-3
2021,LB,2-3
2021,CB+S,2-3
2022,QB,1-2
2022,RB,2-5
2022,WR,2-5
2022,TE,1-4
2022,PK,1
2022,PN,1
2022,DT+DE,2-3
2022,LB,2-3
2022,CB+S,2-3
2023,QB,1-2
2023,RB,2-5
2023,WR,2-5
2023,TE,1-4
2023,PK,1
2023,PN,1
2023,DT+DE,2-3
2023,LB,2-3
2023,CB+S,2-3
2024,QB,1-2
2024,RB,2-5
2024,WR,2-5
2024,TE,1-4
2024,PK,1
2024,PN,1
2024,DT+DE,2-3
2024,LB,2-3
2024,CB+S,2-3
2025,QB,1-2
2025,RB,2-5
2025,WR,2-5
2025,TE,1-4
2025,PK,1
2025,PN,1
2025,DT+DE,2-3
2025,LB,2-3
2025,CB+S,2-3
